,FIPS,State,County,SODATAX_STORES14*,SODATAX_VENDM14*,CHIPSTAX_STORES14*,CHIPSTAX_VENDM14*,FOOD_TAX14*,geo_type
2820,51001.0,VA,Accomack,1.5,5.3,1.5,5.3,1.5,county
2821,51003.0,VA,Albemarle,1.5,5.3,1.5,5.3,1.5,county
2822,51005.0,VA,Alleghany,1.5,5.3,1.5,5.3,1.5,county
2823,51007.0,VA,Amelia,1.5,5.3,1.5,5.3,1.5,county
2824,51009.0,VA,Amherst,1.5,5.3,1.5,5.3,1.5,county
2825,51011.0,VA,Appomattox,1.5,5.3,1.5,5.3,1.5,county
2826,51013.0,VA,Arlington,1.5,5.3,1.5,5.3,1.5,county
2827,51015.0,VA,Augusta,1.5,5.3,1.5,5.3,1.5,county
2828,51017.0,VA,Bath,1.5,5.3,1.5,5.3,1.5,county
2829,51019.0,VA,Bedford,1.5,5.3,1.5,5.3,1.5,county
2830,51021.0,VA,Bland,1.5,5.3,1.5,5.3,1.5,county
2831,51023.0,VA,Botetourt,1.5,5.3,1.5,5.3,1.5,county
2832,51025.0,VA,Brunswick,1.5,5.3,1.5,5.3,1.5,county
2833,51027.0,VA,Buchanan,1.5,5.3,1.5,5.3,1.5,county
2834,51029.0,VA,Buckingham,1.5,5.3,1.5,5.3,1.5,county
2835,51031.0,VA,Campbell,1.5,5.3,1.5,5.3,1.5,county
2836,51033.0,VA,Caroline,1.5,5.3,1.5,5.3,1.5,county
2837,51035.0,VA,Carroll,1.5,5.3,1.5,5.3,1.5,county
2838,51036.0,VA,Charles City,1.5,5.3,1.5,5.3,1.5,county
2839,51037.0,VA,Charlotte,1.5,5.3,1.5,5.3,1.5,county
2840,51041.0,VA,Chesterfield,1.5,5.3,1.5,5.3,1.5,county
2841,51043.0,VA,Clarke,1.5,5.3,1.5,5.3,1.5,county
2842,51045.0,VA,Craig,1.5,5.3,1.5,5.3,1.5,county
2843,51047.0,VA,Culpeper,1.5,5.3,1.5,5.3,1.5,county
2844,51049.0,VA,Cumberland,1.5,5.3,1.5,5.3,1.5,county
2845,51051.0,VA,Dickenson,1.5,5.3,1.5,5.3,1.5,county
2846,51053.0,VA,Dinwiddie,1.5,5.3,1.5,5.3,1.5,county
2847,51057.0,VA,Essex,1.5,5.3,1.5,5.3,1.5,county
2848,51059.0,VA,Fairfax,1.5,5.3,1.5,5.3,1.5,county
2849,51061.0,VA,Fauquier,1.5,5.3,1.5,5.3,1.5,county
2850,51063.0,VA,Floyd,1.5,5.3,1.5,5.3,1.5,county
2851,51065.0,VA,Fluvanna,1.5,5.3,1.5,5.3,1.5,county
2852,51067.0,VA,Franklin,1.5,5.3,1.5,5.3,1.5,county
2853,51069.0,VA,Frederick,1.5,5.3,1.5,5.3,1.5,county
2854,51071.0,VA,Giles,1.5,5.3,1.5,5.3,1.5,county
2855,51073.0,VA,Gloucester,1.5,5.3,1.5,5.3,1.5,county
2856,51075.0,VA,Goochland,1.5,5.3,1.5,5.3,1.5,county
2857,51077.0,VA,Grayson,1.5,5.3,1.5,5.3,1.5,county
2858,51079.0,VA,Greene,1.5,5.3,1.5,5.3,1.5,county
2859,51081.0,VA,Greensville,1.5,5.3,1.5,5.3,1.5,county
2860,51083.0,VA,Halifax,1.5,5.3,1.5,5.3,1.5,county
2861,51085.0,VA,Hanover,1.5,5.3,1.5,5.3,1.5,county
2862,51087.0,VA,Henrico,1.5,5.3,1.5,5.3,1.5,county
2863,51089.0,VA,Henry,1.5,5.3,1.5,5.3,1.5,county
2864,51091.0,VA,Highland,1.5,5.3,1.5,5.3,1.5,county
2865,51093.0,VA,Isle of Wight,1.5,5.3,1.5,5.3,1.5,county
2866,51095.0,VA,James City,1.5,5.3,1.5,5.3,1.5,county
2867,51097.0,VA,King and Queen,1.5,5.3,1.5,5.3,1.5,county
2868,51099.0,VA,King George,1.5,5.3,1.5,5.3,1.5,county
2869,51101.0,VA,King William,1.5,5.3,1.5,5.3,1.5,county
2870,51103.0,VA,Lancaster,1.5,5.3,1.5,5.3,1.5,county
2871,51105.0,VA,Lee,1.5,5.3,1.5,5.3,1.5,county
2872,51107.0,VA,Loudoun,1.5,5.3,1.5,5.3,1.5,county
2873,51109.0,VA,Louisa,1.5,5.3,1.5,5.3,1.5,county
2874,51111.0,VA,Lunenburg,1.5,5.3,1.5,5.3,1.5,county
2875,51113.0,VA,Madison,1.5,5.3,1.5,5.3,1.5,county
2876,51115.0,VA,Mathews,1.5,5.3,1.5,5.3,1.5,county
2877,51117.0,VA,Mecklenburg,1.5,5.3,1.5,5.3,1.5,county
2878,51119.0,VA,Middlesex,1.5,5.3,1.5,5.3,1.5,county
2879,51121.0,VA,Montgomery,1.5,5.3,1.5,5.3,1.5,county
2880,51125.0,VA,Nelson,1.5,5.3,1.5,5.3,1.5,county
2881,51127.0,VA,New Kent,1.5,5.3,1.5,5.3,1.5,county
2882,51131.0,VA,Northampton,1.5,5.3,1.5,5.3,1.5,county
2883,51133.0,VA,Northumberland,1.5,5.3,1.5,5.3,1.5,county
2884,51135.0,VA,Nottoway,1.5,5.3,1.5,5.3,1.5,county
2885,51137.0,VA,Orange,1.5,5.3,1.5,5.3,1.5,county
2886,51139.0,VA,Page,1.5,5.3,1.5,5.3,1.5,county
2887,51141.0,VA,Patrick,1.5,5.3,1.5,5.3,1.5,county
2888,51143.0,VA,Pittsylvania,1.5,5.3,1.5,5.3,1.5,county
2889,51145.0,VA,Powhatan,1.5,5.3,1.5,5.3,1.5,county
2890,51147.0,VA,Prince Edward,1.5,5.3,1.5,5.3,1.5,county
2891,51149.0,VA,Prince George,1.5,5.3,1.5,5.3,1.5,county
2892,51153.0,VA,Prince William,1.5,5.3,1.5,5.3,1.5,county
2893,51155.0,VA,Pulaski,1.5,5.3,1.5,5.3,1.5,county
2894,51157.0,VA,Rappahannock,1.5,5.3,1.5,5.3,1.5,county
2895,51159.0,VA,Richmond,1.5,5.3,1.5,5.3,1.5,county
2896,51161.0,VA,Roanoke,1.5,5.3,1.5,5.3,1.5,county
2897,51163.0,VA,Rockbridge,1.5,5.3,1.5,5.3,1.5,county
