StateFIPS,State,WIC_PART_2012,WIC_PART_2013,WIC_PART_2014,WIC_PART_2015,WIC_PART_2016,WIC_PART_2017,WIC_PART_2018,NSLP_PART_2012,NSLP_PART_2013,NSLP_PART_2014,NSLP_PART_2015,NSLP_PART_2016,NSLP_PART_2017,NSLP_PART_2018,SBP_PART_2012,SBP_PART_2013,SBP_PART_2014,SBP_PART_2015,SBP_PART_2016,SBP_PART_2017,SBP_PART_2018,CACFP_PART_2012,CACFP_PART_2013,CACFP_PART_2014,CACFP_PART_2015,CACFP_PART_2016,CACFP_PART_2017,CACFP_PART_2018,SFSP_PART_2012,SFSP_PART_2013,SFSP_PART_2014,SFSP_PART_2015,SFSP_PART_2016,SFSP_PART_2017,SFSP_PART_2018,State_Population_2012,State_Population_2013,State_Population_2014,State_Population_2015,State_Population_2016,State_Population_2017,State_Population_2018
01,Alabama,"141,899.8333","139,000.5","131,046.25","132,132.75","129,159.9167","123,992.5833","120,604.75","562,959.0076","539,664.2694","531,099.2449","531,305.2859","525,930.9601","511,643.0541","499,631.3077","224,489.7519","224,172.9594","236,579.8873","254,270.2865","266,951.9358","271,324.104","267,372.0484","42,903.75","41,862.5","45,038.75","51,263.75","59,447.5","61,361.5","65,638","26,077","30,308","42,484","49,715","48,691","51,622","51,222","4,815,564","4,830,460","4,842,481","4,853,160","4,864,745","4,875,120","4,887,871"
02,Alaska,"24,969.3333","23,054.6667","19,604.6667","19,682","19,120.9167","18,188.1667","17,092.4167","53,919.813","52,495.0258","51,002.8767","53,616.9244","52,479.8034","53,577.9696","53,653.482","20,758.7199","20,740.7407","21,044.7081","25,111.231","25,979.1442","26,769.1478","27,000.5993","10,540.75","10,962.75","11,429.5","10,786.5","10,039","10,082.5","9,547","4,661","5,078","6,670","5,850","4,688","4,959","4,266","730,399","737,045","736,307","737,547","741,504","739,786","737,438"
04,Arizona,"193,214.0834","182,500.75","173,020.1667","167,072.25","163,997.75","153,510.0834","149,513.3334","662,439.5302","646,766.7506","644,173.319","647,425.7461","641,045.1876","638,136.1621","627,715.5699","274,596.3083","289,520.1966","300,355.3878","308,742.4188","315,991.8495","314,725.6383","313,831.4755","41,670.75","42,945.25","40,344","42,551.5","42,618","42,284.75","49,678.25","27,554","23,688","23,209","14,763","13,924","12,301","14,701","6,556,629","6,634,999","6,733,840","6,833,596","6,945,452","7,048,876","7,171,646"
05,Arkansas,"94,292.75","89,776.8333","83,288.5833","84,219.5833","80,554.6667","76,518.5","73,606.75","348,908.9057","332,496.9435","327,469.1358","320,921.3712","317,039.3144","314,201.4863","311,040.8726","162,017.9792","166,376.4833","172,604.6986","180,120.9397","183,707.1797","184,850.893","189,762.3157","55,787","67,629.75","76,841.25","67,984.5","66,903","63,450.25","57,042.75","26,217","41,946","45,837","31,081","35,767","23,544","18,211","2,952,109","2,959,549","2,967,726","2,978,407","2,990,410","3,002,997","3,013,825"
06,California,"1,472,468.25","1,431,881.4167","1,348,938.5833","1,265,005.25","1,174,874.9167","1,080,241.0833","1,009,491.8333","3,355,494.4265","3,294,580.3668","3,280,732.5902","3,271,743.977","3,251,959.3671","3,215,762.4356","3,177,215.7497","1,406,620.1606","1,517,341.2442","1,645,889.8478","1,691,158.9357","1,722,908.9057","1,727,064.1256","1,706,654.2011","362,931","451,422","511,862.75","562,667","595,088.25","617,881.75","624,624.25","104,384","114,689","115,912","128,025","123,477","152,251","144,780","37,960,782","38,280,824","38,625,139","38,953,142","39,209,127","39,399,349","39,557,045"
08,Colorado,"103,768.75","96,873.5833","91,990.9167","90,953.5","86,999.3334","84,582.4166","85,258.25","389,955.4117","375,033.3213","372,674.6974","378,228.9344","376,744.2167","368,667.5057","367,376.0039","142,955.6514","155,733.3094","168,991.6098","185,013.6641","187,317.6315","183,179.4319","179,740.2613","32,550.25","32,507.25","31,816.5","43,319.75","43,662.75","43,822.5","42,451.5","16,646","17,933","19,076","20,180","19,909","27,258","25,979","5,193,721","5,270,482","5,351,218","5,452,107","5,540,921","5,615,902","5,695,564"
09,Connecticut,"56,583.5833","54,248.1667","52,560.75","51,295.4167","49,155.0833","47,829.6667","47,297.1667","296,699.3887","280,253.3861","283,110.1522","288,268.3687","288,155.9391","283,197.7706","278,107.755","86,529.306","87,970.8738","93,276.759","101,002.8767","108,076.3514","108,240.4411","107,818.0511","20,326.25","20,779.75","20,479.75","21,873.25","22,721.5","22,712.25","24,297.75","10,185","12,171","17,274","28,276","28,038","32,655","31,519","3,594,395","3,594,915","3,594,783","3,587,509","3,578,674","3,573,880","3,572,665"
10,Delaware,"22,213.6667","20,796.9167","19,872.8333","18,997.9167","18,097.4167","17,161.5","16,796.8333","96,040.1534","94,570.7779","94,943.4256","97,995.0857","98,527.9875","98,976.8668","97,980.4627","38,624.116","39,521.9945","41,136.8812","47,980.1031","51,377.6819","52,745.7749","52,918.974","18,366.75","19,016","18,886","19,986.75","20,583.25","22,322.5","23,906.5","14,366","8,190","9,935","10,425","11,906","15,422","14,840","915,188","923,638","932,596","941,413","949,216","957,078","967,171"
11,District of Columbia,"16,474.25","15,674.25","14,500.5","14,525.9167","14,363.0833","13,579.8333","12,465.9167","47,734.6278","50,569.4594","50,809.4211","52,668.3447","53,885.5328","52,710.7755","56,104.279","33,281.4335","34,873.4268","34,873.9063","34,498.7415","35,798.1541","35,028.6468","37,501.4983","7,827.75","4,989.5","5,764.75","5,581","17,594.25","30,604.25","28,545","36,158","34,778","39,449","28,713","28,463","15,494","12,605","634,725","650,431","662,513","675,254","686,575","695,691","702,455"
12,Florida,"495,404.8333","483,564.6667","466,735.5833","483,810.8333","481,519.5833","468,866.5833","450,623.6667","1,653,679.9712","1,638,775.1408","1,651,221.3832","1,675,729.5937","1,704,152.583","1,715,885.0533","1,752,674.3378","711,285.0294","750,969.4355","773,081.026","786,513.4844","832,401.0548","855,037.3966","866,111.1111","210,496.5","223,790.75","248,434","269,541.25","299,778.5","302,110.25","311,957.25","137,796","145,389","155,570","163,418","251,595","229,220","212,179","19,326,230","19,563,166","19,860,330","20,224,249","20,629,982","20,976,812","21,299,325"
