Program Year,Program,SFA ID,SFA Name,Claim Date,Meal Type,Number of Sites/Centers/Providers,Total Enrolled,Number of Operating/Serving Days,Free Meals Served,Reduced Price Meals Served,Paid Meals Served,Total Meals Served,Non-Program Adult Meals,Average Daily Attendance (ADA)
2019 - 2020,School Nutrition Programs,1,Accomack County Public Schools,09/01/2019,1. Breakfast,11,"5,451",19,"38,149",0,"3,740","41,889",,"5,185"
2019 - 2020,School Nutrition Programs,1,Accomack County Public Schools,09/01/2019,3. Lunch,11,"5,451",19,"55,860",0,"5,477","61,337",,"5,188"
2019 - 2020,School Nutrition Programs,1,Accomack County Public Schools,10/01/2019,1. Breakfast,11,"5,223",22,"62,300",0,"6,109","68,409",,"4,970"
2019 - 2020,School Nutrition Programs,1,Accomack County Public Schools,10/01/2019,3. Lunch,11,"5,223",23,"70,981",0,"6,961","77,942",,"4,970"
2019 - 2020,School Nutrition Programs,1,Accomack County Public Schools,11/01/2019,1. Breakfast,11,"5,218",16,"48,978",0,"4,802","53,780",,"4,965"
2019 - 2020,School Nutrition Programs,1,Accomack County Public Schools,11/01/2019,3. Lunch,11,"5,218",16,"51,075",0,"5,008","56,083",,"4,965"
2019 - 2020,School Nutrition Programs,1,Accomack County Public Schools,11/01/2019,4. PM Snack,1,48,7,191,0,0,191,,45
2019 - 2020,School Nutrition Programs,1,Accomack County Public Schools,12/01/2019,1. Breakfast,11,"5,212",15,"46,508",0,"4,560","51,068",,"4,959"
2019 - 2020,School Nutrition Programs,1,Accomack County Public Schools,12/01/2019,3. Lunch,11,"5,212",15,"47,553",0,"4,664","52,217",,"4,959"
2019 - 2020,School Nutrition Programs,1,Accomack County Public Schools,12/01/2019,4. PM Snack,2,82,6,356,0,0,356,,78
2019 - 2020,School Nutrition Programs,1,Accomack County Public Schools,01/01/2020,1. Breakfast,11,"5,193",19,"56,324",0,"5,523","61,847",,"4,975"
2019 - 2020,School Nutrition Programs,1,Accomack County Public Schools,01/01/2020,3. Lunch,11,"5,193",19,"59,558",0,"5,840","65,398",,"4,941"
2019 - 2020,School Nutrition Programs,1,Accomack County Public Schools,01/01/2020,4. PM Snack,1,42,3,98,0,0,98,,40
2019 - 2020,School Nutrition Programs,1,Accomack County Public Schools,02/01/2020,1. Breakfast,11,"5,193",15,"44,366",0,"4,350","48,716",,"4,942"
2019 - 2020,School Nutrition Programs,1,Accomack County Public Schools,02/01/2020,3. Lunch,11,"5,193",18,"56,513",0,"5,541","62,054",,"4,942"
2019 - 2020,School Nutrition Programs,1,Accomack County Public Schools,02/01/2020,4. PM Snack,5,340,10,"1,020",0,0,"1,020",,324
2019 - 2020,School Nutrition Programs,1,Accomack County Public Schools,03/01/2020,1. Breakfast,11,"5,188",10,"29,783",0,"2,921","32,704",,"4,934"
2019 - 2020,School Nutrition Programs,1,Accomack County Public Schools,03/01/2020,3. Lunch,11,"5,188",10,"31,354",0,"3,073","34,427",,"4,934"
2019 - 2020,School Nutrition Programs,1,Accomack County Public Schools,03/01/2020,4. PM Snack,5,273,6,896,0,0,896,,263
2019 - 2020,School Nutrition Programs,10,Bedford County Public Schools,09/01/2019,1. Breakfast,16,"6,431",19,"25,478","3,626","8,648","37,752",,"6,269"
2019 - 2020,School Nutrition Programs,10,Bedford County Public Schools,09/01/2019,1. Breakfast,4,"3,235",19,"2,673",699,"2,360","5,732",,"3,171"
2019 - 2020,School Nutrition Programs,10,Bedford County Public Schools,09/01/2019,3. Lunch,20,"9,666",19,"43,740","7,419","31,914","83,073",,"9,440"
2019 - 2020,School Nutrition Programs,10,Bedford County Public Schools,09/01/2019,4. PM Snack,4,"2,204",19,"1,955",0,0,"1,955",,"2,146"
2019 - 2020,School Nutrition Programs,10,Bedford County Public Schools,10/01/2019,1. Breakfast,16,"6,408",21,"26,700","4,000","10,350","41,050",,"6,241"
2019 - 2020,School Nutrition Programs,10,Bedford County Public Schools,10/01/2019,1. Breakfast,4,"3,234",21,"2,703",856,"3,069","6,628",,"3,164"
2019 - 2020,School Nutrition Programs,10,Bedford County Public Schools,10/01/2019,3. Lunch,20,"9,642",21,"45,912","7,882","39,648","93,442",,"9,405"
2019 - 2020,School Nutrition Programs,10,Bedford County Public Schools,10/01/2019,4. PM Snack,5,"2,539",21,"2,534",0,0,"2,534",,"2,470"
2019 - 2020,School Nutrition Programs,10,Bedford County Public Schools,11/01/2019,1. Breakfast,16,"6,428",16,"20,659","3,195","7,580","31,434",,"6,265"
2019 - 2020,School Nutrition Programs,10,Bedford County Public Schools,11/01/2019,1. Breakfast,4,"3,237",16,"2,106",708,"2,410","5,224",,"3,133"
2019 - 2020,School Nutrition Programs,10,Bedford County Public Schools,11/01/2019,3. Lunch,20,"9,665",16,"35,194","6,325","29,608","71,127",,"9,398"
2019 - 2020,School Nutrition Programs,10,Bedford County Public Schools,11/01/2019,4. PM Snack,5,"2,535",16,"1,624",0,0,"1,624",,"2,493"
2019 - 2020,School Nutrition Programs,10,Bedford County Public Schools,12/01/2019,1. Breakfast,16,"6,404",14,"17,498","2,756","6,444","26,698",,"6,235"
2019 - 2020,School Nutrition Programs,10,Bedford County Public Schools,12/01/2019,1. Breakfast,4,"3,232",14,"1,756",587,"1,908","4,251",,"3,160"
2019 - 2020,School Nutrition Programs,10,Bedford County Public Schools,12/01/2019,3. Lunch,20,"9,636",14,"31,155","5,625","25,413","62,193",,"9,395"
2019 - 2020,School Nutrition Programs,10,Bedford County Public Schools,12/01/2019,4. PM Snack,5,"2,532",14,"1,497",0,0,"1,497",,"2,464"
2019 - 2020,School Nutrition Programs,10,Bedford County Public Schools,01/01/2020,1. Breakfast,16,"6,402",18,"22,295","3,308","8,191","33,794",,"6,198"
2019 - 2020,School Nutrition Programs,10,Bedford County Public Schools,01/01/2020,1. Breakfast,4,"3,239",18,"2,253",803,"2,605","5,661",,"3,155"
2019 - 2020,School Nutrition Programs,10,Bedford County Public Schools,01/01/2020,3. Lunch,20,"9,641",18,"39,875","7,224","32,672","79,771",,"9,353"
2019 - 2020,School Nutrition Programs,10,Bedford County Public Schools,01/01/2020,4. PM Snack,5,"2,527",18,"1,515",0,0,"1,515",,"2,449"
2019 - 2020,School Nutrition Programs,10,Bedford County Public Schools,02/01/2020,1. Breakfast,16,"6,401",20,"26,405","3,242","8,806","38,453",,"6,215"
2019 - 2020,School Nutrition Programs,10,Bedford County Public Schools,02/01/2020,1. Breakfast,4,"3,232",20,"2,940",726,"2,501","6,167",,"3,138"
2019 - 2020,School Nutrition Programs,10,Bedford County Public Schools,02/01/2020,3. Lunch,20,"9,633",20,"47,060","7,019","34,866","88,945",,"9,353"
2019 - 2020,School Nutrition Programs,10,Bedford County Public Schools,02/01/2020,4. PM Snack,5,"2,514",20,"1,673",0,0,"1,673",,"2,447"
2019 - 2020,School Nutrition Programs,10,Bedford County Public Schools,03/01/2020,1. Breakfast,16,"6,406",9,"11,747","1,473","3,964","17,184",,"6,220"
2019 - 2020,School Nutrition Programs,10,Bedford County Public Schools,03/01/2020,1. Breakfast,4,"3,232",9,"1,304",321,"1,092","2,717",,"3,158"
2019 - 2020,School Nutrition Programs,10,Bedford County Public Schools,03/01/2020,3. Lunch,20,"9,638",9,"20,968","3,296","15,744","40,008",,"9,358"
2019 - 2020,School Nutrition Programs,10,Bedford County Public Schools,03/01/2020,4. PM Snack,5,"2,514",9,749,0,0,749,,"2,447"
2019 - 2020,School Nutrition Programs,101,Alexandria City Public Schools,09/01/2019,1. Breakfast,1,491,20,457,61,470,988,,475
2019 - 2020,School Nutrition Programs,101,Alexandria City Public Schools,09/01/2019,1. Breakfast,17,"15,385",20,"69,439","11,271","17,363","98,073",,"14,806"
2019 - 2020,School Nutrition Programs,101,Alexandria City Public Schools,09/01/2019,3. Lunch,18,"15,876",20,"124,588","20,961","38,192","183,741",,"15,381"
2019 - 2020,School Nutrition Programs,101,Alexandria City Public Schools,09/01/2019,4. PM Snack,4,"3,466",12,728,0,0,728,,"3,366"
2019 - 2020,School Nutrition Programs,101,Alexandria City Public Schools,10/01/2019,1. Breakfast,1,488,22,594,80,471,"1,145",,474
2019 - 2020,School Nutrition Programs,101,Alexandria City Public Schools,10/01/2019,1. Breakfast,17,"15,636",22,"83,230","13,536","19,702","116,468",,"15,175"
2019 - 2020,School Nutrition Programs,101,Alexandria City Public Schools,10/01/2019,3. Lunch,18,"16,124",22,"138,061","23,942","44,553","206,556",,"15,649"
2019 - 2020,School Nutrition Programs,101,Alexandria City Public Schools,10/01/2019,4. PM Snack,11,"7,899",22,"5,308",0,0,"5,308",,"7,682"
2019 - 2020,School Nutrition Programs,101,Alexandria City Public Schools,11/01/2019,1. Breakfast,1,486,17,481,52,349,882,,461
