LA #,Local Agency,ORG CODE,Clinic Name,Women_Pregnant,Women_Fully Breastfeeding,Women_Partially Breastfeeding,Women_Postpartum,Infants_Fully Breastfed,Infants_Partially Breastfed,Infants_Formula-Fed,Total_Women,Total_Infants,Total_Children,Grand Total
401,CENTRAL SHENANDOAH HEALTH DISTRICT,017A,BATH COUNTY HEALTH DEPT - COURT HOUSE SQUARE,3,1,,6,1,,18,10,19,46,75
401,CENTRAL SHENANDOAH HEALTH DISTRICT,091A,HIGHLAND COUNTY HEALTH DEPARTMENT,,1,,1,1,,2,2,3,6,11
401,CENTRAL SHENANDOAH HEALTH DISTRICT,530A,BUENA VISTA CITY HEALTH DEPARTMENT,40,22,3,28,23,2,76,93,101,257,451
401,CENTRAL SHENANDOAH HEALTH DISTRICT,660A,HARRISONBURG-ROCKINGHAM HEALTH DEPARTMENT,129,50,46,146,52,49,344,371,445,"1,076","1,892"
401,CENTRAL SHENANDOAH HEALTH DISTRICT,790A,AUGUSTA-STAUNTON HEALTH DEPARTMENT,94,27,11,78,26,12,218,210,256,572,"1,038"
401,CENTRAL SHENANDOAH HEALTH DISTRICT,910A,ELKTON AREA UNITED SERVICES,8,3,2,11,3,2,27,24,32,91,147
401,CENTRAL SHENANDOAH HEALTH DISTRICT,015B,THE RESURRECTION OF WAYNESBORO,29,11,2,34,13,2,82,76,97,214,387
402,LORD FAIRFAX HEALTH DISTRICT,043A,CLARKE COUNTY HEALTH DEPARTMENT,1,,,,,,,1,0,1,2
402,LORD FAIRFAX HEALTH DISTRICT,139A,PAGE COUNTY HEALTH DEPARTMENT,19,10,2,20,10,3,53,51,66,116,233
402,LORD FAIRFAX HEALTH DISTRICT,171A,SHENANDOAH COUNTY HEALTH DEPARTMENT,48,21,15,52,23,17,113,136,153,371,660
402,LORD FAIRFAX HEALTH DISTRICT,187A,WARREN COUNTY HEALTH DEPARTMENT,17,13,8,48,15,8,91,86,114,207,407
402,LORD FAIRFAX HEALTH DISTRICT,840A,FREDERICK/WINCESTER HEALTH DEPARTMENT,87,47,65,114,50,63,278,313,391,676,"1,380"
403,RAPPAHANNOCK AREA HEALTH DISTRICT,033A,CAROLINE COUNTY HEALTH DEPARTMENT,33,6,6,33,8,7,86,78,101,261,440
403,RAPPAHANNOCK AREA HEALTH DISTRICT,099A,KING GEORGE COUNTY HEALTH DEPARTMNENT,21,10,2,24,9,2,60,57,71,137,265
403,RAPPAHANNOCK AREA HEALTH DISTRICT,177A,SPOTSYLVANIA COUNTY HEALTH DEPARTMENT,118,30,34,120,33,34,302,302,369,740,"1,411"
403,RAPPAHANNOCK AREA HEALTH DISTRICT,179A,STAFFORD COUNTY HEALTH DEPARTMENT,67,36,41,106,36,40,270,250,346,788,"1,384"
403,RAPPAHANNOCK AREA HEALTH DISTRICT,630B,FREDERICKSBURG CITY HEALTH DEPARTMNENT,67,12,29,94,12,28,212,202,252,482,936
404,RAPPAHANNOCK-RAPIDAN HEALTH DISTRICT,047A,CULPEPER COUNTY HEALTH DEPARTMNENT,64,19,18,64,24,21,165,165,210,376,751
404,RAPPAHANNOCK-RAPIDAN HEALTH DISTRICT,061A,FAUQUIER COUNTY HEALTH DEPARTMNENT,32,16,9,45,18,7,82,102,107,227,436
404,RAPPAHANNOCK-RAPIDAN HEALTH DISTRICT,113A,MADISON COUNTY HEALTH DEPARTMNENT,9,6,,10,6,,17,25,23,96,144
404,RAPPAHANNOCK-RAPIDAN HEALTH DISTRICT,137A,ORANGE COUNTY HEALTH DEPARTMNENT,52,22,9,52,22,9,117,135,148,432,715
404,RAPPAHANNOCK-RAPIDAN HEALTH DISTRICT,157A,RAPPAHANNOCK COUNTY HEALTH DEPARTMNENT,2,,,,,,1,2,1,13,16
405,BLUE RIDGE HEALTH DISTRICT,065A,FLUVANNA COUNTY HEALTH DEPARTMENT,13,8,3,18,8,2,37,42,47,100,189
405,BLUE RIDGE HEALTH DISTRICT,079A,GREENE COUNTY HEALTH DEPARTMENT,27,12,4,32,13,4,62,75,79,161,315
405,BLUE RIDGE HEALTH DISTRICT,109A,LOUISA COUNTY HEALTH DEPARTMENT,32,9,5,30,9,4,80,76,93,221,390
405,BLUE RIDGE HEALTH DISTRICT,125A,NELSON COUNTY HEALTH DEPARTMENT,19,4,4,12,3,4,34,39,41,139,219
